meta_edible_portion_percent,meta_id,meta_name_en,meta_name_vi,nutrition_per_100g_amino_acids_alanine_mg,nutrition_per_100g_amino_acids_arginine_mg,nutrition_per_100g_amino_acids_aspartic_acid_mg,nutrition_per_100g_amino_acids_cystine_mg,nutrition_per_100g_amino_acids_glutamic_acid_mg,nutrition_per_100g_amino_acids_glycine_mg,nutrition_per_100g_amino_acids_histidine_mg,nutrition_per_100g_amino_acids_isoleucine_mg,nutrition_per_100g_amino_acids_leucine_mg,nutrition_per_100g_amino_acids_lysine_mg,nutrition_per_100g_amino_acids_methionine_mg,nutrition_per_100g_amino_acids_phenylalanine_mg,nutrition_per_100g_amino_acids_proline_mg,nutrition_per_100g_amino_acids_serine_mg,nutrition_per_100g_amino_acids_threonine_mg,nutrition_per_100g_amino_acids_tryptophan_mg,nutrition_per_100g_amino_acids_tyrosine_mg,nutrition_per_100g_amino_acids_valine_mg,nutrition_per_100g_carotenoids_alpha_carotene_mcg,nutrition_per_100g_carotenoids_beta_carotene_mcg,nutrition_per_100g_carotenoids_beta_cryptoxanthin_mcg,nutrition_per_100g_carotenoids_lutein_zeaxanthin_mcg,nutrition_per_100g_carotenoids_lycopene_mg,nutrition_per_100g_energy_kcal,nutrition_per_100g_energy_kj,nutrition_per_100g_isoflavones_daidzein_mg,nutrition_per_100g_isoflavones_genistein_mg,nutrition_per_100g_isoflavones_glycitein_mg,nutrition_per_100g_isoflavones_total_mg,nutrition_per_100g_lipids_total_monounsaturated_fat_g,nutrition_per_100g_lipids_total_polyunsaturated_fat_g,nutrition_per_100g_lipids_total_saturated_fat_g,nutrition_per_100g_lipids_total_trans_fat_g,nutrition_per_100g_macros_ash_g,nutrition_per_100g_macros_carbohydrate_g,nutrition_per_100g_macros_fat_g,nutrition_per_100g_macros_fiber_g,nutrition_per_100g_macros_protein_g,nutrition_per_100g_macros_water_g,nutrition_per_100g_minerals_calcium_mg,nutrition_per_100g_minerals_copper_mcg,nutrition_per_100g_minerals_iron_mg,nutrition_per_100g_minerals_magnesium_mg,nutrition_per_100g_minerals_manganese_mg,nutrition_per_100g_minerals_phosphorus_mg,nutrition_per_100g_minerals_potassium_mg,nutrition_per_100g_minerals_selenium_mcg,nutrition_per_100g_minerals_sodium_mg,nutrition_per_100g_minerals_zinc_mg,nutrition_per_100g_purines_purines_mg,nutrition_per_100g_sugars_fructose_g,nutrition_per_100g_sugars_galactose_g,nutrition_per_100g_sugars_glucose_g,nutrition_per_100g_sugars_lactose_g,nutrition_per_100g_sugars_maltose_g,nutrition_per_100g_sugars_sucrose_g,nutrition_per_100g_sugars_total_sugar_g,nutrition_per_100g_vitamins_folate_mcg,nutrition_per_100g_vitamins_vitamin_a_mcg,nutrition_per_100g_vitamins_vitamin_b12_mcg,nutrition_per_100g_vitamins_vitamin_b1_mg,nutrition_per_100g_vitamins_vitamin_b2_mg,nutrition_per_100g_vitamins_vitamin_b5_mg,nutrition_per_100g_vitamins_vitamin_b6_mg,nutrition_per_100g_vitamins_vitamin_b9_mcg,nutrition_per_100g_vitamins_vitamin_c_mg,nutrition_per_100g_vitamins_vitamin_d_mcg,nutrition_per_100g_vitamins_vitamin_e_mg,nutrition_per_100g_vitamins_vitamin_k_mcg,nutrition_per_100g_vitamins_vitamin_pp_mg
100,1001,"Glutinous rice, milled",GAO NẾP CÁI,347,435,443,96,1210,281,133,222,531,207,66,229,376,309,177,,111,317,0,0,0,0,0,344,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,"Glutinous rice, milled",Gạo nếp mây (Loại thường),395,568,640,140,1328,310,160,294,563,246,160,364,321,358,244,79,228,416,0,0,0,0,0,,,,,,,0.2,0.2,0.11,,0.7,74.9,1.6,0.5,8.4,13.9,16,280,1.2,17,1.1,130,282,15.1,3,2.2,,,,,,,,,7,0,0,0.16,0.06,0.284,0.107,0,0,,,,2.4
0.0,1003,"Under milled, home-pounded rice",Gạo Tẻ Giã,,,,,,,,,,,,,,,,,,,,,,,,344,1439,,,,,,,,,0.9,75.0,1.3,0.7,8.1,14.0,36,360,0.2,52,1.5,108,202,38.8,5,1.9,,,,,,,,,,0,,0.12,0.04,,,,0,,,,1.9
0.0,1004,Ordinary polished rice,Gạo Tẻ Máy,383,551,621,135,1288,301,155,285,546,239,155,353,311,347,236,77,221,403,0,0,0,0,0,344,1439,,,,,0.18,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,1005,"Rice, brown or hulled",Gạo Lứt,437,569,702,91,1528,369,190,318,620,286,169,387,352,388,275,96,281,440,0,0,0,0,0,345,1443,,,,,0.97,0.96,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1006,Foxtail millet,Kẽ,626,243,461,135,1522,182,150,295,889,135,140,368,557,409,224,76,216,367,,60,,,,331,1385,,,,,0.77,2.13,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,,280,150,240,59,760,140,100,140,470,100,71,190,330,190,140,24,140,180,,,,,,196,818,,,,,0.52,0.89,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1008,"Yellow maize, dried seeds",Ngô vàng hạt khô,644,429,598,155,1614,352,262,308,1054,242,180,423,750,408,323,61,350,435,63,97,0,1355,0,354,1482,,,,,1.25,2.16,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,"Ball shaped dumpling, Vietnamese steamed buns",Bánh bao nhãn thịt,,,,,,,,,,,,,,,,,,,0,0,0,0,0,219,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,Rice paper for rollers,Bánh Ơ Nêm,,,,,,,,,,,,,,,,,,,0,0,0,0,0,333,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,11,Rice pudding,Bánh Đúc,,,,,,,,,,,,,,,,,,,0,0,0,0,0,52,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1012,French bread,Bánh Mỳ,280,294,392,188,1924,331,133,294,460,163,133,314,732,345,216,66,208,366,0,0,0,0,0,249,1043,,,,,,,,,1.3,52.6,0.8,0.2,7.9,37.2,28,,2.0,,,164,,,,,,,,,,,,,,0,,0.1,0.07,,,,0,,,,0.7
